site_id,report_date,actual_production
1506.0,2022-01-31,84321.32959000015
1506.0,2022-02-28,85256.17860999997
1506.0,2022-03-31,85586.76168
1506.0,2022-04-30,81116.55238000004
1506.0,2022-05-31,11286.737610000004
1506.0,2022-06-30,0.0
1506.0,2022-07-31,0.0
1506.0,2022-08-31,0.0
1506.0,2022-09-30,0.0
1506.0,2022-10-31,64315.69286999995
1506.0,2022-11-30,52066.55127000007
1506.0,2022-12-31,98733.64963999987
1506.0,2023-01-31,94928.97717000006
1506.0,2023-02-28,90279.16378999998
1506.0,2023-03-31,96904.89392
1506.0,2023-04-30,98137.38354999995
1506.0,2023-05-31,97584.82095000012
1506.0,2023-06-30,80515.02404000003
1506.0,2023-07-31,63621.460580000086
1506.0,2023-08-31,101367.00230000001
1506.0,2023-09-30,56256.09059999996
1507.0,2022-01-31,87050.63809999998
1507.0,2022-02-28,72139.9075829999
1507.0,2022-03-31,92192.24152499992
1507.0,2022-04-30,64893.880131999955
1507.0,2022-05-31,87703.6805040001
1507.0,2022-06-30,88909.91890000005
1507.0,2022-07-31,91469.22309999984
1507.0,2022-08-31,89177.5811460001
1507.0,2022-09-30,88142.18840000009
1507.0,2022-10-31,70942.45065000009
1507.0,2022-11-30,86908.749643
1507.0,2022-12-31,89387.83284899995
1507.0,2023-01-31,91711.45865000009
1507.0,2023-02-28,82218.71615000007
1507.0,2023-03-31,85487.08238280003
1507.0,2023-04-30,79701.17961399992
1507.0,2023-05-31,56869.681877000075
1507.0,2023-06-30,89481.11559999987
1507.0,2023-07-31,77737.08350499997
1507.0,2023-08-31,91459.17755000012
1507.0,2023-09-30,87700.71045599999
1399.0,2022-01-31,79706.49723000001
1399.0,2022-02-28,61830.333900000005
1399.0,2022-03-31,74476.50738000001
1399.0,2022-04-30,69742.84117
1399.0,2022-05-31,72168.03999
1399.0,2022-06-30,65966.31205000001
1399.0,2022-07-31,34506.1589
1399.0,2022-08-31,69133.78107000001
1399.0,2022-09-30,69103.37565
1399.0,2022-10-31,70857.8532
1399.0,2022-11-30,59368.60064999999
1399.0,2022-12-31,66631.369
1399.0,2023-01-31,59269.639970000004
1399.0,2023-02-28,58634.07766
1399.0,2023-03-31,68420.47231
1399.0,2023-04-30,64256.05786000001
1399.0,2023-05-31,58477.43683
1399.0,2023-06-30,42247.597010000005
1399.0,2023-07-31,2803.1762400000002
1399.0,2023-08-31,50390.2303
1399.0,2023-09-30,66532.2
1401.0,2022-01-31,26222.063
1401.0,2022-02-28,16792.2474
1401.0,2022-03-31,19477.4333
1401.0,2022-04-30,25668.5053
1401.0,2022-05-31,22705.1781
1401.0,2022-06-30,23895.26283
1401.0,2022-07-31,21138.192580000003
1401.0,2022-08-31,19399.20046
1401.0,2022-09-30,10179.28183
1401.0,2022-10-31,25396.56772
1401.0,2022-11-30,20724.912360000002
1401.0,2022-12-31,24008.57403
1401.0,2023-01-31,24211.410440000003
1401.0,2023-02-28,22768.134140000002
1401.0,2023-03-31,24741.48099
1401.0,2023-04-30,26364.82699
1401.0,2023-05-31,23340.59905
1401.0,2023-06-30,23192.2284
1401.0,2023-07-31,22812.9
1401.0,2023-08-31,22226.07
1401.0,2023-09-30,13255.6
1400.0,2022-01-31,26308.5251
1400.0,2022-02-28,26713.208400000003
1400.0,2022-03-31,23145.56255
1400.0,2022-04-30,28266.13635
1400.0,2022-05-31,24934.28673
1400.0,2022-06-30,21561.4672
1400.0,2022-07-31,24590.905000000002
1400.0,2022-08-31,22951.420400000003
1400.0,2022-09-30,23797.0756
1400.0,2022-10-31,10034.6101
1400.0,2022-11-30,20597.9252
1400.0,2022-12-31,25090.0577
1400.0,2023-01-31,27798.149500000003
1400.0,2023-02-28,21612.022
1400.0,2023-03-31,27032.56606
1400.0,2023-04-30,20940.8844
1400.0,2023-05-31,21380.9015
1400.0,2023-06-30,21779.5243
1400.0,2023-07-31,25959.325600000004
1400.0,2023-08-31,24598.96438
1400.0,2023-09-30,12976.6
1402.0,2022-01-31,17895.447190000003
1402.0,2022-02-28,14474.957100000001
1402.0,2022-03-31,17992.834000000003
1402.0,2022-04-30,16422.715
1402.0,2022-05-31,19441.255680000002
1402.0,2022-06-30,16248.936130000002
1402.0,2022-07-31,16901.16032
1402.0,2022-08-31,17997.94032
1402.0,2022-09-30,8449.99767
1402.0,2022-10-31,20508.77602
1402.0,2022-11-30,18286.962000000003
1402.0,2022-12-31,18646.30315
1402.0,2023-01-31,17900.44873
1402.0,2023-02-28,15394.93976
1402.0,2023-03-31,19682.77079
1402.0,2023-04-30,15931.766140000002
1402.0,2023-05-31,19708.14522
1402.0,2023-06-30,18772.112
1402.0,2023-07-31,16879.779000000002
1402.0,2023-08-31,17397.50814
1402.0,2023-09-30,0.0
1398.0,2022-01-31,81580.00672
1398.0,2022-02-28,76662.28917
1398.0,2022-03-31,76814.58132
1398.0,2022-04-30,68243.46076
1398.0,2022-05-31,75832.63865000001
1398.0,2022-06-30,72285.99003
1398.0,2022-07-31,65747.60178
1398.0,2022-08-31,34997.986919999996
1398.0,2022-09-30,65054.4145
1398.0,2022-10-31,77426.5765
1398.0,2022-11-30,77006.5637
1398.0,2022-12-31,79044.64351
1398.0,2023-01-31,81729.49492000001
1398.0,2023-02-28,70319.95143
1398.0,2023-03-31,76647.61873
1398.0,2023-04-30,76596.68108000001
1398.0,2023-05-31,74712.7838
1398.0,2023-06-30,59461.335600000006
1398.0,2023-07-31,70408.49394
1398.0,2023-08-31,15521.71364
1398.0,2023-09-30,35499.2284
1398.0,2023-10-31,83851.90000000001
1399.0,2023-10-31,57650.700000000004
1400.0,2023-10-31,24945.7
