site_id,technology,country,fund_name,report_date,actual_production,carbon_avoided_gco2_kwh,tonnes_carbon_avoided,latitude,longitude
1585,Onshore wind,Australia,Grape,2023-10-31 00:00:00,50666.4,662.5805119234876,33570.56924932019,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2023-10-31 00:00:00,50666.4,662.5805119234876,33570.56924932019,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2023-10-31 00:00:00,50666.4,662.5805119234876,33570.56924932019,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2023-11-30 00:00:00,47749.3,662.5805119234876,31637.75563798819,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2023-11-30 00:00:00,47749.3,662.5805119234876,31637.75563798819,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2023-11-30 00:00:00,47749.3,662.5805119234876,31637.75563798819,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2023-12-31 00:00:00,40582.1,662.5805119234876,26888.90859293017,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2023-12-31 00:00:00,40582.1,662.5805119234876,26888.90859293017,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2023-12-31 00:00:00,40582.1,662.5805119234876,26888.90859293017,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-01-31 00:00:00,40600.7,662.5805119234876,26901.232590451942,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-01-31 00:00:00,40600.7,662.5805119234876,26901.232590451942,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-01-31 00:00:00,40600.7,662.5805119234876,26901.232590451942,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-02-29 00:00:00,33067.700000000004,662.5805119234876,21910.013594132317,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-02-29 00:00:00,33067.700000000004,662.5805119234876,21910.013594132317,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-02-29 00:00:00,33067.700000000004,662.5805119234876,21910.013594132317,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-03-31 00:00:00,50003.0,662.5805119234876,33131.01333771015,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-03-31 00:00:00,50003.0,662.5805119234876,33131.01333771015,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-03-31 00:00:00,50003.0,662.5805119234876,33131.01333771015,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-04-30 00:00:00,36477.7,662.5805119234876,24169.413139791403,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-04-30 00:00:00,36477.7,662.5805119234876,24169.413139791403,-26.637554,149.8711
1585,Onshore wind,Australia,Grape,2024-04-30 00:00:00,36477.7,662.5805119234876,24169.413139791403,-26.637554,149.8711
1557,Ground mount solar,Australia,Grape,2022-07-31 00:00:00,27628.972429811205,662.5805119234876,18306.418696464236,-34.567668,146.000771
